domain_length,domain_num_of_unique_char,domain_num_of_unique_letters,domain_num_of_unique_numbers,ratio_of_letters_of_domain_name,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,entropy,vowel_consonant_ratio,dict_ratio,domain_class
12,9,8,1,0.75,0.25,0.8888888888888888,0.1111111111111111,3.0220552088742005,0.49999991666668053,0.0,legit
10,8,7,1,0.7,0.3,0.875,0.125,2.8464393446710154,0.399999920000016,0.14285714285714285,legit
7,6,4,2,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.3333333333333333,2.521640636343318,0.33333322222225925,0.0,legit
14,10,8,2,0.7857142857142857,0.14285714285714285,0.8,0.2,3.3248629576173565,0.57142848979593,0.0,legit
10,9,7,2,0.7,0.3,0.7777777777777778,0.2222222222222222,3.1219280948873624,0.399999920000016,0.0,legit
7,6,4,2,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.3333333333333333,2.521640636343318,0.99999950000025,0.0,legit
7,7,3,4,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,2.8073549220576037,0.0,0.0,legit
9,8,5,3,0.6666666666666666,0.3333333333333333,0.625,0.375,2.94770277922009,0.49999987500003124,0.0,legit
7,6,4,2,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.3333333333333333,2.521640636343318,0.6666664444445185,0.0,legit
14,12,10,2,0.8571428571428571,0.14285714285714285,0.8333333333333334,0.16666666666666666,3.521640636343318,0.4999999375000079,0.14285714285714285,legit
11,2,0,2,0.0,1.0,0.0,1.0,0.6840384356390417,0.0,0.0,legit
7,5,2,3,0.5714285714285714,0.42857142857142855,0.4,0.6,2.2359263506290326,0.99999950000025,0.0,legit
7,7,4,3,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,2.8073549220576037,0.99999950000025,0.0,legit
7,7,5,2,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,2.8073549220576037,0.6666664444445185,0.0,legit
8,8,6,2,0.75,0.25,0.75,0.25,3.0,0.49999987500003124,0.0,legit
7,5,0,5,0.0,1.0,0.0,1.0,2.128085278891394,0.0,0.0,legit
7,7,0,7,0.0,1.0,0.0,1.0,2.8073549220576037,0.0,0.0,legit
7,6,0,6,0.0,1.0,0.0,1.0,2.521640636343318,0.0,0.0,legit
7,5,0,5,0.0,1.0,0.0,1.0,2.128085278891394,0.0,0.0,legit
7,5,2,3,0.42857142857142855,0.5714285714285714,0.4,0.6,2.2359263506290326,0.0,0.0,legit
7,7,3,4,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,2.8073549220576037,0.499999750000125,0.0,legit
7,7,3,4,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,2.8073549220576037,0.0,0.0,legit
7,6,3,3,0.42857142857142855,0.5714285714285714,0.5,0.5,2.521640636343318,0.499999750000125,0.0,legit
8,8,4,4,0.5,0.5,0.5,0.5,3.0,2.9999970000030003,0.0,legit
12,8,4,4,0.6666666666666666,0.3333333333333333,0.5,0.5,2.918295834054489,0.9999997500000625,0.0,legit
14,9,7,2,0.6428571428571429,0.2857142857142857,0.7777777777777778,0.2222222222222222,3.1280852788913944,0.799999840000032,0.0,legit
8,7,4,3,0.5,0.5,0.5714285714285714,0.42857142857142855,2.75,0.99999950000025,0.0,legit
7,5,4,1,0.7142857142857143,0.14285714285714285,0.8,0.2,2.521640636343318,0.6666664444445185,0.0,legit
11,7,6,1,0.8181818181818182,0.09090909090909091,0.8571428571428571,0.14285714285714285,2.913977073182752,0.799999840000032,0.0,legit
13,8,6,2,0.6153846153846154,0.3076923076923077,0.75,0.25,2.9689185639620974,0.599999880000024,0.0,legit
