domain_length,domain_num_of_unique_char ,domain_num_of_unique_letters ,domain_num_of_unique_numbers ,ratio_of_letters_of_domain_name ,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters
19,13,11,2,0.842105263,0.105263158,0.846153846,0.153846154
8,6,2,4,0.25,0.625,0.333333333,0.666666667
14,10,9,1,0.857142857,0.071428571,0.9,0.1
25,15,13,2,0.72,0.12,0.866666667,0.133333333
24,13,11,2,0.708333333,0.125,0.846153846,0.153846154
23,12,10,2,0.695652174,0.130434783,0.833333333,0.166666667
14,9,8,1,0.714285714,0.214285714,0.888888889,0.111111111
12,7,7,0,0.833333333,0,1,0
7,3,3,0,0.571428571,0,1,0
10,5,5,0,0.5,0,1,0
7,3,3,0,0.571428571,0,1,0
7,4,4,0,0.571428571,0,1,0
8,5,5,0,0.625,0,1,0
7,4,4,0,0.571428571,0,1,0
10,5,5,0,0.5,0,1,0
16,9,9,0,0.8125,0,1,0
24,14,14,0,0.833333333,0,1,0
23,12,12,0,0.826086957,0,1,0
24,12,12,0,0.833333333,0,1,0
24,14,14,0,0.833333333,0,1,0
7,4,4,0,0.571428571,0,1,0
7,4,3,1,0.428571429,0.285714286,0.75,0.25
10,5,3,2,0.3,0.4,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
8,5,3,2,0.375,0.375,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
9,4,3,1,0.333333333,0.333333333,0.75,0.25
18,13,12,1,0.777777778,0.055555556,0.923076923,0.076923077
9,6,5,1,0.555555556,0.111111111,0.833333333,0.166666667
8,5,4,1,0.5,0.125,0.8,0.2
9,6,5,1,0.555555556,0.111111111,0.833333333,0.166666667
6,3,2,1,0.5,0.166666667,0.666666667,0.333333333
8,6,4,2,0.5,0.25,0.666666667,0.333333333
8,6,3,3,0.375,0.375,0.5,0.5
8,6,3,3,0.375,0.375,0.5,0.5
18,11,9,2,0.722222222,0.111111111,0.818181818,0.181818182
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
8,6,3,3,0.375,0.375,0.5,0.5
19,14,13,1,0.842105263,0.052631579,0.928571429,0.071428571
25,13,12,1,0.84,0.04,0.923076923,0.076923077
7,4,3,1,0.571428571,0.142857143,0.75,0.25
8,6,5,1,0.625,0.125,0.833333333,0.166666667
7,5,4,1,0.571428571,0.142857143,0.8,0.2
7,5,4,1,0.571428571,0.142857143,0.8,0.2
8,5,4,1,0.625,0.125,0.8,0.2
