flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,duration,total_bytes,receiving_bytes,sending_bytes,packets_rate,packets_len_rate,min_packets_len,max_packets_len,mean_packets_len,standard_deviation_packets_len,variance_packets_len,coefficient_of_variation_packets_len,dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,uni_gram_domain_name,bi_gram_domain_name,tri_gram_domain_name,numerical_percentage,character_distribution,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,distinct_ttl_values,ttl_values_min,ttl_values_max,ttl_values_mean,ttl_values_mode,ttl_values_median,distinct_A_records,ans_resource_record_type,ans_resource_record_class,label
2026-04-24 19:03:10.912692_10.0.0.2_52398_10.0.1.100_53_12527,2026-04-24 19:03:10.912692,10.0.0.2,52398,10.0.1.100,53,0.0498,298,99,199,40.1292,5979.2508,99,199,149.0000,50.0000,2500.0000,0.3356,contile.services.mozilla.com.,com,mozilla.com,29,7,"['c', 'o', 'n', 't', 'i', 'l', 'e', '.', 's', 'e', 'r', 'v', 'i', 'c', 'e', 's', '.', 'm', 'o', 'z', 'i', 'l', 'l', 'a', '.', 'c', 'o', 'm', '.']","['co', 'on', 'nt', 'ti', 'il', 'le', 'e.', '.s', 'se', 'er', 'rv', 'vi', 'ic', 'ce', 'es', 's.', '.m', 'mo', 'oz', 'zi', 'il', 'll', 'la', 'a.', '.c', 'co', 'om', 'm.']","['con', 'ont', 'nti', 'til', 'ile', 'le.', 'e.s', '.se', 'ser', 'erv', 'rvi', 'vic', 'ice', 'ces', 'es.', 's.m', '.mo', 'moz', 'ozi', 'zil', 'ill', 'lla', 'la.', 'a.c', '.co', 'com', 'om.']",0.0,"{'e': 3, 'm': 2, 'i': 3, 'l': 3, '.': 4, 'z': 1, 'c': 3, 'v': 1, 's': 2, 'a': 1, 'o': 3, 't': 1, 'n': 1, 'r': 1}",3.624379701651112,0,8,2,2,0.6666666666666666,0.7407407407407407,2,51,179,76.6000,51.0000,51.0000,4,"[5, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",Benign
2026-04-24 19:03:10.912693_10.0.0.2_42825_10.0.1.100_53_55680,2026-04-24 19:03:10.912693,10.0.0.2,42825,10.0.1.100,53,0.0498,298,99,199,40.1453,5981.6545,99,199,149.0000,50.0000,2500.0000,0.3356,contile.services.mozilla.com.,com,mozilla.com,29,7,"['c', 'o', 'n', 't', 'i', 'l', 'e', '.', 's', 'e', 'r', 'v', 'i', 'c', 'e', 's', '.', 'm', 'o', 'z', 'i', 'l', 'l', 'a', '.', 'c', 'o', 'm', '.']","['co', 'on', 'nt', 'ti', 'il', 'le', 'e.', '.s', 'se', 'er', 'rv', 'vi', 'ic', 'ce', 'es', 's.', '.m', 'mo', 'oz', 'zi', 'il', 'll', 'la', 'a.', '.c', 'co', 'om', 'm.']","['con', 'ont', 'nti', 'til', 'ile', 'le.', 'e.s', '.se', 'ser', 'erv', 'rvi', 'vic', 'ice', 'ces', 'es.', 's.m', '.mo', 'moz', 'ozi', 'zil', 'ill', 'lla', 'la.', 'a.c', '.co', 'com', 'om.']",0.0,"{'e': 3, 'm': 2, 'i': 3, 'l': 3, '.': 4, 'z': 1, 'c': 3, 'v': 1, 's': 2, 'a': 1, 'o': 3, 't': 1, 'n': 1, 'r': 1}",3.624379701651112,0,8,2,2,0.6666666666666666,0.7407407407407407,2,51,179,76.6000,51.0000,51.0000,4,"[5, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",Benign
2026-04-24 19:03:10.913018_10.0.1.100_7523_8.8.8.8_53_4481,2026-04-24 19:03:10.913018,10.0.1.100,7523,8.8.8.8,53,0.0244,298,99,199,81.9000,12203.1007,99,199,149.0000,50.0000,2500.0000,0.3356,contile.services.mozilla.com.,com,mozilla.com,29,7,"['c', 'o', 'n', 't', 'i', 'l', 'e', '.', 's', 'e', 'r', 'v', 'i', 'c', 'e', 's', '.', 'm', 'o', 'z', 'i', 'l', 'l', 'a', '.', 'c', 'o', 'm', '.']","['co', 'on', 'nt', 'ti', 'il', 'le', 'e.', '.s', 'se', 'er', 'rv', 'vi', 'ic', 'ce', 'es', 's.', '.m', 'mo', 'oz', 'zi', 'il', 'll', 'la', 'a.', '.c', 'co', 'om', 'm.']","['con', 'ont', 'nti', 'til', 'ile', 'le.', 'e.s', '.se', 'ser', 'erv', 'rvi', 'vic', 'ice', 'ces', 'es.', 's.m', '.mo', 'moz', 'ozi', 'zil', 'ill', 'lla', 'la.', 'a.c', '.co', 'com', 'om.']",0.0,"{'e': 3, 'm': 2, 'i': 3, 'l': 3, '.': 4, 'z': 1, 'c': 3, 'v': 1, 's': 2, 'a': 1, 'o': 3, 't': 1, 'n': 1, 'r': 1}",3.624379701651112,0,8,2,2,0.6666666666666666,0.7407407407407407,2,59,179,83.0000,59.0000,59.0000,4,"[5, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",Benign
2026-04-24 19:03:10.937650_10.0.1.100_60434_8.8.8.8_53_4834,2026-04-24 19:03:10.937650,10.0.1.100,60434,8.8.8.8,53,0.0247,250,93,157,80.8735,10109.1926,93,157,125.0000,32.0000,1024.0000,0.2560,mozilla.map.fastly.net.,net,fastly.net,23,7,"['m', 'o', 'z', 'i', 'l', 'l', 'a', '.', 'm', 'a', 'p', '.', 'f', 'a', 's', 't', 'l', 'y', '.', 'n', 'e', 't', '.']","['mo', 'oz', 'zi', 'il', 'll', 'la', 'a.', '.m', 'ma', 'ap', 'p.', '.f', 'fa', 'as', 'st', 'tl', 'ly', 'y.', '.n', 'ne', 'et', 't.']","['moz', 'ozi', 'zil', 'ill', 'lla', 'la.', 'a.m', '.ma', 'map', 'ap.', 'p.f', '.fa', 'fas', 'ast', 'stl', 'tly', 'ly.', 'y.n', '.ne', 'net', 'et.']",0.0,"{'e': 1, 'm': 2, 'p': 1, 'l': 3, 'i': 1, 'f': 1, 'z': 1, '.': 4, 'y': 1, 's': 1, 'o': 1, 't': 2, 'n': 1, 'a': 3}",3.5883543471732335,0,7,4,2,0.46153846153846156,0.5454545454545454,1,51,51,51.0000,51.0000,51.0000,4,"[1, 1, 1, 1]","[1, 1, 1, 1]",Benign
2026-04-24 19:03:12.512188_10.0.0.2_45604_10.0.1.100_53_34357,2026-04-24 19:03:12.512188,10.0.0.2,45604,10.0.1.100,53,0.0022,160,72,88,910.3210,72825.6799,72,88,80.0000,8.0000,64.0000,0.1000,ns.lab.local.,local,lab.local,13,2,"['n', 's', '.', 'l', 'a', 'b', '.', 'l', 'o', 'c', 'a', 'l', '.']","['ns', 's.', '.l', 'la', 'ab', 'b.', '.l', 'lo', 'oc', 'ca', 'al', 'l.']","['ns.', 's.l', '.la', 'lab', 'ab.', 'b.l', '.lo', 'loc', 'oca', 'cal', 'al.']",0.0,"{'l': 3, '.': 3, 'c': 1, 's': 1, 'o': 1, 'b': 1, 'n': 1, 'a': 2}",2.8150724101159437,0,5,2,1,0.42857142857142855,0.46153846153846156,1,3600,3600,3600.0000,3600.0000,3600.0000,1,[1],[1],Benign
2026-04-24 19:03:12.512505_10.0.1.100_7239_10.0.3.100_53_40227,2026-04-24 19:03:12.512505,10.0.1.100,7239,10.0.3.100,53,0.0018,182,83,99,1129.3226,102768.3533,83,99,91.0000,8.0000,64.0000,0.0879,ns.lab.local.,local,lab.local,13,2,"['n', 's', '.', 'l', 'a', 'b', '.', 'l', 'o', 'c', 'a', 'l', '.']","['ns', 's.', '.l', 'la', 'ab', 'b.', '.l', 'lo', 'oc', 'ca', 'al', 'l.']","['ns.', 's.l', '.la', 'lab', 'ab.', 'b.l', '.lo', 'loc', 'oca', 'cal', 'al.']",0.0,"{'l': 3, '.': 3, 'c': 1, 's': 1, 'o': 1, 'b': 1, 'n': 1, 'a': 2}",2.8150724101159437,0,5,2,1,0.42857142857142855,0.46153846153846156,1,3600,3600,3600.0000,3600.0000,3600.0000,1,[1],[1],Benign
2026-04-24 19:03:12.515333_10.0.0.2_45701_10.0.1.100_53_39495,2026-04-24 19:03:12.515333,10.0.0.2,45701,10.0.1.100,53,0.0006,186,72,114,3577.2316,332682.5348,72,114,93.0000,21.0000,441.0000,0.2258,ns.lab.local.,local,lab.local,13,2,"['n', 's', '.', 'l', 'a', 'b', '.', 'l', 'o', 'c', 'a', 'l', '.']","['ns', 's.', '.l', 'la', 'ab', 'b.', '.l', 'lo', 'oc', 'ca', 'al', 'l.']","['ns.', 's.l', '.la', 'lab', 'ab.', 'b.l', '.lo', 'loc', 'oca', 'cal', 'al.']",0.0,"{'l': 3, '.': 3, 'c': 1, 's': 1, 'o': 1, 'b': 1, 'n': 1, 'a': 2}",2.8150724101159437,0,5,2,1,0.42857142857142855,0.46153846153846156,0,-1,-1,-1,-1,-1,0,[],[],Benign
2026-04-24 19:03:12.515402_10.0.1.100_11832_10.0.3.100_53_13965,2026-04-24 19:03:12.515402,10.0.1.100,11832,10.0.3.100,53,0.0004,208,83,125,4546.6710,472853.7843,83,125,104.0000,21.0000,441.0000,0.2019,ns.lab.local.,local,lab.local,13,2,"['n', 's', '.', 'l', 'a', 'b', '.', 'l', 'o', 'c', 'a', 'l', '.']","['ns', 's.', '.l', 'la', 'ab', 'b.', '.l', 'lo', 'oc', 'ca', 'al', 'l.']","['ns.', 's.l', '.la', 'lab', 'ab.', 'b.l', '.lo', 'loc', 'oca', 'cal', 'al.']",0.0,"{'l': 3, '.': 3, 'c': 1, 's': 1, 'o': 1, 'b': 1, 'n': 1, 'a': 2}",2.8150724101159437,0,5,2,1,0.42857142857142855,0.46153846153846156,0,-1,-1,-1,-1,-1,0,[],[],Benign
2026-04-24 19:03:15.083654_10.0.0.2_53443_10.0.1.100_53_18410,2026-04-24 19:03:15.083654,10.0.0.2,53443,10.0.1.100,53,0.0550,198,67,131,36.3425,3597.9057,67,131,99.0000,32.0000,1024.0000,0.3232,onet.pl.,pl,onet.pl,8,,"['o', 'n', 'e', 't', '.', 'p', 'l', '.']","['on', 'ne', 'et', 't.', '.p', 'pl', 'l.']","['one', 'net', 'et.', 't.p', '.pl', 'pl.']",0.0,"{'p': 1, 'o': 1, 'l': 1, '.': 2, 'e': 1, 't': 1, 'n': 1}",2.75,0,4,2,1,0.5,0.375,1,60,60,60.0000,60.0000,60.0000,4,"[1, 1, 1, 1]","[1, 1, 1, 1]",Benign
2026-04-24 19:03:15.084290_10.0.1.100_47428_8.8.8.8_53_24768,2026-04-24 19:03:15.084290,10.0.1.100,47428,8.8.8.8,53,0.0542,220,78,142,36.8698,4055.6737,78,142,110.0000,32.0000,1024.0000,0.2909,onet.pl.,pl,onet.pl,8,,"['o', 'n', 'e', 't', '.', 'p', 'l', '.']","['on', 'ne', 'et', 't.', '.p', 'pl', 'l.']","['one', 'net', 'et.', 't.p', '.pl', 'pl.']",0.0,"{'p': 1, 'o': 1, 'l': 1, '.': 2, 'e': 1, 't': 1, 'n': 1}",2.75,0,4,2,1,0.5,0.375,1,60,60,60.0000,60.0000,60.0000,4,"[1, 1, 1, 1]","[1, 1, 1, 1]",Benign
2026-04-24 19:03:15.140025_10.0.0.2_39735_10.0.1.100_53_4576,2026-04-24 19:03:15.140025,10.0.0.2,39735,10.0.1.100,53,0.0273,218,67,151,73.2623,7985.5920,67,151,109.0000,42.0000,1764.0000,0.3853,onet.pl.,pl,onet.pl,8,,"['o', 'n', 'e', 't', '.', 'p', 'l', '.']","['on', 'ne', 'et', 't.', '.p', 'pl', 'l.']","['one', 'net', 'et.', 't.p', '.pl', 'pl.']",0.0,"{'p': 1, 'o': 1, 'l': 1, '.': 2, 'e': 1, 't': 1, 'n': 1}",2.75,0,4,2,1,0.5,0.375,0,-1,-1,-1,-1,-1,0,[],[],Benign
2026-04-24 19:03:15.140131_10.0.1.100_51722_8.8.8.8_53_34953,2026-04-24 19:03:15.140131,10.0.1.100,51722,8.8.8.8,53,0.0271,240,78,162,73.8883,8866.5912,78,162,120.0000,42.0000,1764.0000,0.3500,onet.pl.,pl,onet.pl,8,,"['o', 'n', 'e', 't', '.', 'p', 'l', '.']","['on', 'ne', 'et', 't.', '.p', 'pl', 'l.']","['one', 'net', 'et.', 't.p', '.pl', 'pl.']",0.0,"{'p': 1, 'o': 1, 'l': 1, '.': 2, 'e': 1, 't': 1, 'n': 1}",2.75,0,4,2,1,0.5,0.375,0,-1,-1,-1,-1,-1,0,[],[],Benign
